,album,album_type,track_number,id_track,name,popularity,explicit,duration_ms,release_date,artists
72khpWnaVccMIEfJNLbzf4,AUSTIN (Bonus),album,1,72khpWnaVccMIEfJNLbzf4,Don't Understand,62,False,183379,2023-08-02,['Post Malone']
373nrXuYab2ryFwNjHDLxZ,AUSTIN (Bonus),album,2,373nrXuYab2ryFwNjHDLxZ,Something Real,65,True,205287,2023-08-02,['Post Malone']
0lZZebcSfJdm5LhDRtE0jx,AUSTIN (Bonus),album,3,0lZZebcSfJdm5LhDRtE0jx,Chemical,65,True,183410,2023-08-02,['Post Malone']
0RouqUmBBafKBAH3TdIm8l,AUSTIN (Bonus),album,4,0RouqUmBBafKBAH3TdIm8l,Novacandy,63,True,197287,2023-08-02,['Post Malone']
5NsdWdkHR3AScw6EKj51CA,AUSTIN (Bonus),album,5,5NsdWdkHR3AScw6EKj51CA,Mourning,65,True,147819,2023-08-02,['Post Malone']
4Q9r41IbGhNCTdgjxH9w8t,AUSTIN (Bonus),album,6,4Q9r41IbGhNCTdgjxH9w8t,Too Cool To Die,64,True,204952,2023-08-02,['Post Malone']
35PZZmwJIEvwfI4z1nMXRI,AUSTIN (Bonus),album,7,35PZZmwJIEvwfI4z1nMXRI,Sign Me Up,62,True,198937,2023-08-02,['Post Malone']
37MvrBi4UHnb1BjRVTysWm,AUSTIN (Bonus),album,8,37MvrBi4UHnb1BjRVTysWm,Socialite,61,True,199021,2023-08-02,['Post Malone']
71snOgSRnUsYu2G74VBy40,AUSTIN (Bonus),album,9,71snOgSRnUsYu2G74VBy40,Overdrive,64,False,147679,2023-08-02,['Post Malone']
07MXbWeFj8wrdLVvLCnzWw,AUSTIN (Bonus),album,10,07MXbWeFj8wrdLVvLCnzWw,Speedometer,61,False,162103,2023-08-02,['Post Malone']
0HS8nptHdSq4SB1tAHcDQF,AUSTIN (Bonus),album,11,0HS8nptHdSq4SB1tAHcDQF,Hold My Breath,60,False,208904,2023-08-02,['Post Malone']
